Description,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,Style_ID,TrimName
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ALUHE,2024,446278,4,Sport Utility,Luxury
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1AULHE,2024,446279,4,Sport Utility,Ultimate
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ANLHE,2024,446280,4,Sport Utility,N-Line
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUPWDG1AULPH,2024,446277,4,Sport Utility,Ultimate
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FES00,2024,449815,4,Sport Utility,Essential
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FESTT,2024,449816,4,Sport Utility,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPR00,2024,449817,4,Sport Utility,Preferred
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPRTT,2024,449818,4,Sport Utility,Preferred
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FUL00,2024,449819,4,Sport Utility,Ultimate
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FULCP,2024,449820,4,Sport Utility,Ultimate
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BES00,2025,462584,4,4dr Car,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPR00,2025,462585,4,4dr Car,Preferred
Preferred Ivt W/tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPRTE,2025,462586,4,4dr Car,Preferred
Luxury Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLU00,2025,462587,4,4dr Car,Luxury
Luxury Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLUME,2025,462588,4,4dr Car,Luxury
N-Line Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4U1ANLUL,2025,462589,4,4dr Car,N Line Ultimate
Luxury Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHE,2025,462706,4,4dr Car,Luxury
Luxury Dct W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHM,2025,462707,4,4dr Car,Luxury
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS472ANN00,2025,462700,4,4dr Car,
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4M2ANN00,2025,462701,4,4dr Car,
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I5EW5ZE4PRLR,2025,469170,4,Sport Utility,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRLR,2025,469171,4,Sport Utility,Preferred
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRUP,2025,469172,4,Sport Utility,Preferred
Preferred Rwd Standard Range,REAR_WHEEL_DRIVE,HYUNDAI,I5EW5ZE4PRPR,2025,469173,4,Sport Utility,Preferred
Awd,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE3NN00,2025,456472,4,Sport Utility,
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I6ES4ZE4PRLR,2025,462828,4,4dr Car,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I6ES4ZE2PRLR,2025,462829,4,4dr Car,Preferred
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,I6ES4ZE2PRUP,2025,462830,4,4dr Car,Preferred
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BES00,2025,461888,4,Sport Utility,Essential
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BPR00,2025,461889,4,Sport Utility,Preferred
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BES00,2025,461890,4,Sport Utility,Essential
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPR00,2025,461891,4,Sport Utility,Preferred
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPRTR,2025,461892,4,Sport Utility,Preferred
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANL00,2025,461893,4,Sport Utility,N Line
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLTT,2025,461894,4,Sport Utility,N Line
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLUL,2025,461895,4,Sport Utility,N Line Ultimate
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLBA,2025,461896,4,Sport Utility,N Line Ultimate
1.6t Preferred Sport Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1APRSP,2025,461897,4,Sport Utility,Preferred Sport
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PR00,2025,461932,4,Sport Utility,Preferred
Ultimate Fwd *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,KE2SEFEME400,2025,461933,4,Sport Utility,Ultimate
Ultimate Fwd W/two-Tone Interior *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,KE2SEFEME466,2025,461934,4,Sport Utility,Ultimate w/Two-Tone Interior
Ultimate Fwd W/sage-Green Interior *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,KE2SEFEME4BF,2025,461935,4,Sport Utility,Ultimate w/Sage-Green Interior
Preferred Fwd W/trend Package,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRTR,2025,461936,4,Sport Utility,Preferred w/Trend Package
N-Line Ultimate Fwd *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,KE2SEFEMEO20,2025,461937,4,Sport Utility,N Line Ultimate
Preferred Fwd W/ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUP,2025,462604,4,Sport Utility,Preferred w/Ultimate Package
Preferred Fwd W/ultimate Package Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUT,2025,462605,4,Sport Utility,Preferred w/Ultimate Package Two-Tone
Preferred Fwd W/ultimate Package Green Interior,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUG,2025,462606,4,Sport Utility,Preferred w/Ultimate Package Green Interior
Preferred Fwd W/n-Line Ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRNU,2025,462607,4,Sport Utility,Preferred w/N Line Ultimate Package
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,NXFW5ZH1PR00,2025,464373,4,Sport Utility,Preferred
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,NXFW5ZH1UL00,2025,464374,4,Sport Utility,Ultimate
Urban 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW8K3DUR00,2025,456016,4,Sport Utility,Urban
Urban 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DUR91,2025,456017,4,Sport Utility,Urban
Ultimate Calligraphy 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULC7,2025,456018,4,Sport Utility,Ultimate Calligraphy
Ultimate Calligraphy W/beige 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULCB,2025,456019,4,Sport Utility,Ultimate Calligraphy
Ultimate Calligraphy Night 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULCN,2025,456020,4,Sport Utility,Ultimate Calligraphy Night
Preferred 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW8K3DPR00,2025,460576,4,Sport Utility,Preferred
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPR00,2025,463873,4,Crew Cab Pickup,Preferred
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DUL00,2025,463874,4,Crew Cab Pickup,Ultimate
Ultimate Awd W/colour Package,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DUL95,2025,463875,4,Crew Cab Pickup,Ultimate
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DXR00,2025,463876,4,Crew Cab Pickup,XRT
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,SACW7N2DXR00,2025,463285,4,Sport Utility,XRT
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,SACW7N2DLU00,2025,463286,4,Sport Utility,Luxury
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,SACW6N2DULBG,2025,463287,4,Sport Utility,Ultimate Calligraphy
Ultimate Calligraphy Awd W/beige Interior,ALL_WHEEL_DRIVE,HYUNDAI,SACW6N2DULBH,2025,463288,4,Sport Utility,Ultimate Calligraphy
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRHE,2025,463289,4,Sport Utility,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRTH,2025,463290,4,Sport Utility,Preferred
