Description,Description2,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,StyleID,Style_ID
Preferred Awd W/trend Package,AWD w/Trend Pkg,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRTH,2024,Preferred,4,454777,Sport Utility
Ultimate Calligraphy Nhl Special Edition Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SAHW6G1AULCS,2024,Ultimate Calligraphy NHL Special Edition,4,458472,Sport Utility
2.5l Preferred-Trend Fwd,2.5L FWD,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4J2EPRTR,2024,Preferred-Trend,4,452616,4dr Car
2.5t N-Line Ultimate Fwd,2.5T FWD,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4M2DNL00,2024,N Line Ultimate,4,452617,4dr Car
2.5l Preferred-Trend Awd,2.5L AWD,ALL_WHEEL_DRIVE,HYUNDAI,SOCS4K2EPRTR,2024,Preferred-Trend,4,452618,4dr Car
Preferred Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPR00,2024,Preferred,4,446281,Sport Utility
Trend Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPRTR,2024,Trend,4,446282,Sport Utility
Luxury Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ALUHE,2024,Luxury,4,446278,Sport Utility
Ultimate Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1AULHE,2024,Ultimate,4,446279,Sport Utility
N-Line Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ANLHE,2024,N-Line,4,446280,Sport Utility
Ultimate Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUPWDG1AULPH,2024,Ultimate,4,446277,Sport Utility
Essential Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FES00,2024,Essential,4,449815,Sport Utility
Essential Ivt W/two-Tone,IVT w/Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FESTT,2024,Essential,4,449816,Sport Utility
Preferred Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPR00,2024,Preferred,4,449817,Sport Utility
Preferred Ivt W/two-Tone,IVT w/Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPRTT,2024,Preferred,4,449818,Sport Utility
Ultimate Ivt W/black Interior,IVT w/Black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FUL00,2024,Ultimate,4,449819,Sport Utility
Ultimate Ivt W/denim Interior,IVT w/Denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FULCP,2024,Ultimate,4,449820,Sport Utility
Essential Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BES00,2025,Essential,4,462584,4dr Car
Preferred Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPR00,2025,Preferred,4,462585,4dr Car
Preferred Ivt W/tech Package,IVT w/Tech Pkg,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPRTE,2025,Preferred,4,462586,4dr Car
Luxury Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLU00,2025,Luxury,4,462587,4dr Car
Luxury Ivt W/two-Tone Interior,IVT w/Two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLUME,2025,Luxury,4,462588,4dr Car
N-Line Ultimate Dct,DCT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4U1ANLUL,2025,N Line Ultimate,4,462589,4dr Car
Luxury Dct,DCT,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHE,2025,Luxury,4,462706,4dr Car
Luxury Dct W/two-Tone Interior,DCT w/Two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHM,2025,Luxury,4,462707,4dr Car
Manual,Manual,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS472ANN00,2025,,4,462700,4dr Car
Dct,DCT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4M2ANN00,2025,,4,462701,4dr Car
Preferred Rwd Long Range,RWD Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I5EW5ZE4PRLR,2025,Preferred,4,469170,Sport Utility
Preferred Awd Long Range,AWD Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRLR,2025,Preferred,4,469171,Sport Utility
Preferred Awd Long Range W/ultimate Package,AWD Long Range w/Ultimate Pkg,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRUP,2025,Preferred,4,469172,Sport Utility
Preferred Rwd Standard Range,RWD Standard Range,REAR_WHEEL_DRIVE,HYUNDAI,I5EW5ZE4PRPR,2025,Preferred,4,469173,Sport Utility
Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE3NN00,2025,,4,456472,Sport Utility
Preferred Rwd Long Range,RWD Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I6ES4ZE4PRLR,2025,Preferred,4,462828,4dr Car
Preferred Awd Long Range,AWD Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I6ES4ZE2PRLR,2025,Preferred,4,462829,4dr Car
Preferred Awd Long Range W/ultimate Package,AWD Long Range w/Ultimate Pkg,ALL_WHEEL_DRIVE,HYUNDAI,I6ES4ZE2PRUP,2025,Preferred,4,462830,4dr Car
2.0l Essential Fwd,2.0L FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BES00,2025,Essential,4,461888,Sport Utility
2.0l Preferred Fwd,2.0L FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BPR00,2025,Preferred,4,461889,Sport Utility
2.0l Essential Awd,2.0L AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BES00,2025,Essential,4,461890,Sport Utility
2.0l Preferred Awd,2.0L AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPR00,2025,Preferred,4,461891,Sport Utility
2.0l Preferred Awd W/trend Package,2.0L AWD w/Trend Package,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPRTR,2025,Preferred,4,461892,Sport Utility
1.6t N-Line Awd,1.6T AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANL00,2025,N Line,4,461893,Sport Utility
1.6t N-Line Awd W/two-Tone Roof,1.6T AWD w/Two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLTT,2025,N Line,4,461894,Sport Utility
1.6t N-Line Ultimate Awd,1.6T AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLUL,2025,N Line Ultimate,4,461895,Sport Utility
1.6t N-Line Ultimate Awd W/two-Tone Roof,1.6T AWD w/Two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLBA,2025,N Line Ultimate,4,461896,Sport Utility
1.6t Preferred Sport Awd,1.6T AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1APRSP,2025,Preferred Sport,4,461897,Sport Utility
Preferred Fwd,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PR00,2025,Preferred,4,461932,Sport Utility
Ultimate Fwd *ltd Avail*,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KE2SEFEME400,2025,Ultimate,4,461933,Sport Utility
Ultimate Fwd W/two-Tone Interior *ltd Avail*,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KE2SEFEME466,2025,Ultimate w/Two-Tone Interior,4,461934,Sport Utility
Ultimate Fwd W/sage-Green Interior *ltd Avail*,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KE2SEFEME4BF,2025,Ultimate w/Sage-Green Interior,4,461935,Sport Utility
Preferred Fwd W/trend Package,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRTR,2025,Preferred w/Trend Package,4,461936,Sport Utility
N-Line Ultimate Fwd *ltd Avail*,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KE2SEFEMEO20,2025,N Line Ultimate,4,461937,Sport Utility
Preferred Fwd W/ultimate Package,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUP,2025,Preferred w/Ultimate Package,4,462604,Sport Utility
Preferred Fwd W/ultimate Package Two-Tone,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUT,2025,Preferred w/Ultimate Package Two-Tone,4,462605,Sport Utility
Preferred Fwd W/ultimate Package Green Interior,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUG,2025,Preferred w/Ultimate Package Green Interior,4,462606,Sport Utility
Preferred Fwd W/n-Line Ultimate Package,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRNU,2025,Preferred w/N Line Ultimate Package,4,462607,Sport Utility
Preferred Fwd,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,NXFW5ZH1PR00,2025,Preferred,4,464373,Sport Utility
Ultimate Fwd,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,NXFW5ZH1UL00,2025,Ultimate,4,464374,Sport Utility
Urban 8-Passenger Awd,8-Passenger AWD,ALL_WHEEL_DRIVE,HYUNDAI,PACW8K3DUR00,2025,Urban,4,456016,Sport Utility
Urban 7-Passenger Awd,7-Passenger AWD,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DUR91,2025,Urban,4,456017,Sport Utility
Ultimate Calligraphy 7-Passenger Awd,7-Passenger AWD,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULC7,2025,Ultimate Calligraphy,4,456018,Sport Utility
Ultimate Calligraphy W/beige 7-Passenger Awd,7-Passenger AWD w/Beige,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULCB,2025,Ultimate Calligraphy,4,456019,Sport Utility
Ultimate Calligraphy Night 7-Passenger Awd,7-Passenger AWD,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULCN,2025,Ultimate Calligraphy Night,4,456020,Sport Utility
Preferred 8-Passenger Awd,8-Passenger AWD,ALL_WHEEL_DRIVE,HYUNDAI,PACW8K3DPR00,2025,Preferred,4,460576,Sport Utility
Preferred Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPR00,2025,Preferred,4,463873,Crew Cab Pickup
Ultimate Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DUL00,2025,Ultimate,4,463874,Crew Cab Pickup
Ultimate Awd W/colour Package,AWD w/Colour Pkg,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DUL95,2025,Ultimate,4,463875,Crew Cab Pickup
Xrt Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DXR00,2025,XRT,4,463876,Crew Cab Pickup
Xrt Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SACW7N2DXR00,2025,XRT,4,463285,Sport Utility
Luxury Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SACW7N2DLU00,2025,Luxury,4,463286,Sport Utility
Ultimate Calligraphy Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SACW6N2DULBG,2025,Ultimate Calligraphy,4,463287,Sport Utility
Ultimate Calligraphy Awd W/beige Interior,AWD w/Beige Interior,ALL_WHEEL_DRIVE,HYUNDAI,SACW6N2DULBH,2025,Ultimate Calligraphy,4,463288,Sport Utility
Preferred Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRHE,2025,Preferred,4,463289,Sport Utility
Preferred Awd W/trend Package,AWD w/Trend Pkg,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRTH,2025,Preferred,4,463290,Sport Utility
2.5l Preferred-Trend Fwd,2.5L FWD,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4J2EPRTR,2025,Preferred-Trend,4,464084,4dr Car
2.5t N-Line Ultimate Fwd,2.5T FWD,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4M2DNL00,2025,N Line Ultimate,4,464085,4dr Car
