Description,Description2,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,StyleID,Style_ID
3.5t Advanced Awd 5-Passenger W/matte Paint,AWD 5P w/Matte Paint,ALL_WHEEL_DRIVE,GENESIS,V8CW5K3BGAAY,2024,3.5T Advanced,4,438598,Sport Utility
Prestige Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7EW5ZE1GP00,2025,Prestige,4,463311,Sport Utility
Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7EW5ZE1GA00,2025,Advanced,4,463312,Sport Utility
Advanced Plus Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7EW5ZE1GAAU,2025,Advanced Plus,4,463313,Sport Utility
2.5t Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G7CS4K2DGA00,2025,2.5T Advanced,4,455533,4dr Car
2.5t Prestige Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G7CS4K2DGP00,2025,2.5T Prestige,4,455534,4dr Car
3.3t Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G7CS4K3AGA00,2025,3.3T Advanced,4,455535,4dr Car
3.3t Sport Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G7CS4K3AGS00,2025,3.3T Sport,4,455536,4dr Car
2.5t Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G8CS4K2DGA00,2025,2.5T Advanced,4,466610,4dr Car
3.5t Sport Plus Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G8CS4K3BGSAU,2025,3.5T Sport Plus,4,466611,4dr Car
E-Sc Prestige Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G9CS4K3BXXPS,2025,e-SC Prestige,4,463358,4dr Car
Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V6EW5ZE227AD,2025,Advanced,4,461704,Sport Utility
Performance Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V6EW5ZE127AR,2025,Performance,4,461705,Sport Utility
Performance Awd W/navy Interior,AWD w/Navy Interior,ALL_WHEEL_DRIVE,GENESIS,V6EW5ZE127PF,2025,Performance,4,461706,Sport Utility
2.5t Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K2D27AD,2025,2.5T Advanced,4,455516,Sport Utility
2.5t Advanced Plus Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K2DGAAU,2025,2.5T Advanced Plus,4,455517,Sport Utility
2.5t Prestige Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K2DGP00,2025,2.5T Prestige,4,455518,Sport Utility
3.5t Sport Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K3BGS00,2025,3.5T Sport,4,455519,Sport Utility
3.5t Sport Plus With-Lsd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K3BGSBE,2025,3.5T Sport Plus w/LSD,4,455520,Sport Utility
2.5t Advanced Awd 5-Passenger,AWD 5P,ALL_WHEEL_DRIVE,GENESIS,V8CW5K2DGA00,2025,2.5T Advanced,4,459749,Sport Utility
3.5t Advanced With-Technology Package Awd 7-Passenger,AWD w/Tech Pkg 7P,ALL_WHEEL_DRIVE,GENESIS,V8CW7K3BGA55,2025,3.5T Advanced,4,459750,Sport Utility
3.5t Prestige Awd 7-Passenger,AWD 7P,ALL_WHEEL_DRIVE,GENESIS,V8CW7K3BGP00,2025,3.5T Prestige,4,459751,Sport Utility
2.5t Advanced With-Technology Package Awd 5-Passenger,AWD w/Tech Pkg 5P,ALL_WHEEL_DRIVE,GENESIS,V8CW5K2DGA55,2025,2.5T Advanced,4,459752,Sport Utility
3.5t E-Sc Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V8CC7K3BGP00,2025,3.5T e-SC,4,460325,Sport Utility
Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7EW5ZE1GA00,2026,Advanced,4,481478,Sport Utility
Prestige Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7EW5ZE1GP00,2026,Prestige,4,481479,Sport Utility
2.5t Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G7CS4K2DGA00,2026,2.5T Advanced,4,475088,4dr Car
2.5t Prestige Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G7CS4K2DGP00,2026,2.5T Prestige,4,475089,4dr Car
3.3t Sport Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G7CS4K3AGS00,2026,3.3T Sport,4,475090,4dr Car
3.3t Graphite Special-Edition Edition Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G7CS4K3AGSGR,2026,3.3T Graphite Special Edition,4,484079,4dr Car
2.5t Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G8CS4K2DGA00,2026,2.5T Advanced,4,479262,4dr Car
3.5t Sport Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G8CS4K3BGS00,2026,3.5T Sport,4,479263,4dr Car
3.5t Prestige Black-Package Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G8CS4K3BGPBL,2026,3.5T Prestige Black,4,479264,4dr Car
E-Sc Prestige Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G9CS4K3BGP00,2026,e-SC Prestige,4,479289,4dr Car
E-Sc Prestige Ash Wood Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G9CS4K3BGPAW,2026,e-SC Prestige Ash Wood,4,479290,4dr Car
E-Sc Prestige Black-Package Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G9CS4K3BGPBL,2026,e-SC Prestige Black,4,479291,4dr Car
Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V6EW5ZE2GWAE,2026,Advanced,4,481700,Sport Utility
Awd *ltd Avail*,AWD,ALL_WHEEL_DRIVE,GENESIS,V6EW5ZE2GW00,2026,,4,481701,Sport Utility
+ Awd *ltd Avail*,AWD,ALL_WHEEL_DRIVE,GENESIS,V6EW5ZE1GZ00,2026,+,4,481702,Sport Utility
Sport Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V6EW5ZE1GZSP,2026,Sport,4,481703,Sport Utility
2.5t Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K2DGA00,2026,2.5T Advanced,4,470386,Sport Utility
2.5t Advanced Technology Package Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K2DGA55,2026,2.5T Advanced Technology Package,4,470387,Sport Utility
2.5t Prestige Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K2DGP00,2026,2.5T Prestige,4,470388,Sport Utility
3.5t Sport Quilting Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K3BGS00,2026,3.5T Sport Quilting,4,470389,Sport Utility
3.5t Sport Suede Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K3BGSAU,2026,3.5T Sport Suede,4,473370,Sport Utility
2.5t Advanced Awd 5-Passenger,AWD 5P,ALL_WHEEL_DRIVE,GENESIS,V8CW5K2DGA00,2026,2.5T Advanced,4,479284,Sport Utility
2.5t Advanced With-Technology Package Awd 5-Passenger,AWD w/Tech Pkg 5P,ALL_WHEEL_DRIVE,GENESIS,V8CW5K2DGA55,2026,2.5T Advanced,4,479285,Sport Utility
3.5t Advanced With-Technology Package Awd 7-Passenger,AWD w/Tech Pkg 7P,ALL_WHEEL_DRIVE,GENESIS,V8CW7K3BGA55,2026,3.5T Advanced,4,479286,Sport Utility
3.5t Prestige Awd 7-Passenger,AWD 7P,ALL_WHEEL_DRIVE,GENESIS,V8CW7K3BGP00,2026,3.5T Prestige,4,479287,Sport Utility
3.5t Prestige Awd 7-Passenger Black-Package,AWD 7P,ALL_WHEEL_DRIVE,GENESIS,V8CW7K3BGPBL,2026,3.5T Prestige Black,4,479288,Sport Utility
3.5t E-Sc Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V8CC7K3BGP00,2026,3.5T e-SC,4,479433,Sport Utility
3.5t E-Sc Prestige Black-Package Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V8CC7K3BGPBL,2026,3.5T e-SC Prestige Black,4,479434,Sport Utility
