Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SZ1SDA25D200,2022,424177,4,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,SZ1SDA25D241,2022,424178,4,Preferred
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SZ1SDA25D400,2022,424179,4,Ultimate
Ultimate Awd W/colour Package,ALL_WHEEL_DRIVE,HYUNDAI,,SZ1SDA25D495,2022,424426,4,Ultimate
Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA25B100,2022,423627,4,Essential
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA25B200,2022,423628,4,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA25B241,2022,423629,4,Preferred
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA25D469,2022,423630,4,Ultimate Calligraphy
Urban Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA25DX43,2022,423631,4,Urban
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA16G2AD,2022,423632,4,Preferred
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA16G3AA,2022,423633,4,Luxury
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA16J2AB,2022,423634,4,Preferred
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA16J3AB,2022,423635,4,Luxury
2.5l Preferred,FRONT_WHEEL_DRIVE,HYUNDAI,,SO84AF25B200,2022,424271,4,Preferred
1.6t Sport,FRONT_WHEEL_DRIVE,HYUNDAI,,SO84AF16DS00,2022,424272,4,Sport
1.6t Luxury,FRONT_WHEEL_DRIVE,HYUNDAI,,SO84AF16D300,2022,424273,4,Luxury
2.5t N-Line,FRONT_WHEEL_DRIVE,HYUNDAI,,SO84DF25DO00,2022,424274,4,N Line
Ultimate Sedan,FRONT_WHEEL_DRIVE,HYUNDAI,,SH84AF20I4AI,2022,424298,4,Ultimate
Ultimate Sedan W/solar Roof,FRONT_WHEEL_DRIVE,HYUNDAI,,SH84AF20I4AJ,2022,424299,4,Ultimate
Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,TU4SAF25B100,2022,419779,4,Essential
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,TU4SAF25B200,2022,419780,4,Preferred
Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA25B100,2022,419781,4,Essential
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA25B200,2022,419782,4,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA25B241,2022,419783,4,Preferred
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA25BO00,2022,419784,4,N Line
Urban Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA25BY76,2022,425679,4,Urban Edition
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA16G3AA,2022,419785,4,Luxury
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA16G4AA,2022,419786,4,Ultimate
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA16J3AB,2022,423451,4,Luxury
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA16J4AB,2022,423452,4,Ultimate
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,,VE23MF20DX39,2022,422496,3,
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,VE23DF20DX39,2022,422497,3,
Essential Manual,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SMF16AX40,2022,424732,4,Essential
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16AX40,2022,424733,4,Essential
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16A166,2022,424734,4,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16AX42,2022,424735,4,Preferred
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16A266,2022,424736,4,Preferred
Trend Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16AX41,2022,424737,4,Trend
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16A485,2022,424738,4,Ultimate
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16A489,2022,424739,4,Ultimate
Urban Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16AY85,2022,424740,4,Urban
Urban Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16AY89,2022,424741,4,Urban
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74IF20A100,2023,429961,4,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74IF20A200,2023,429962,4,Preferred
N-Line Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74DF16DO20,2023,429963,4,N Line Ultimate
Preferred Ivt W/tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74IF20A283,2023,429964,4,Preferred
Luxury Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74IF20A300,2023,429965,4,Luxury
Luxury Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74IF20A354,2023,429966,4,Luxury
Luxury Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74DF16I3AA,2023,430352,4,Luxury
Luxury Dct W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74DF16I3AC,2023,430353,4,Luxury
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74MF20DX39,2023,433503,4,
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74DF20DX39,2023,433504,4,
Preferred Rwd,REAR_WHEEL_DRIVE,HYUNDAI,,I51SEREME200,2023,432532,4,Preferred
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,,I51SEREME2AK,2023,432533,4,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,,I51SEAEME2AK,2023,432534,4,Preferred
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,,I51SEAEME2AV,2023,432535,4,Preferred
Preferred Awd Long Range W/luxury Package,ALL_WHEEL_DRIVE,HYUNDAI,,I51SEAEME2AZ,2023,440882,4,Preferred
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,,I614EREME2AK,2023,436500,4,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,,I614EAEME2AK,2023,436501,4,Preferred
