Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName
2.5t N-Line Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,SOCS4M2DNL00,2024,452617,4,N Line Ultimate
2.5l Preferred-Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SOCS4K2EPRTR,2024,452618,4,Preferred-Trend
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUCWDK2EPR00,2024,446281,4,Preferred
Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUCWDK2EPRTR,2024,446282,4,Trend
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUHWDG1ALUHE,2024,446278,4,Luxury
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUHWDG1AULHE,2024,446279,4,Ultimate
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUHWDG1ANLHE,2024,446280,4,N-Line
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUPWDG1AULPH,2024,446277,4,Ultimate
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FES00,2024,449815,4,Essential
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FESTT,2024,449816,4,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FPR00,2024,449817,4,Preferred
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FPRTT,2024,449818,4,Preferred
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FUL00,2024,449819,4,Ultimate
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FULCP,2024,449820,4,Ultimate
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BES00,2025,462584,4,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BPR00,2025,462585,4,Preferred
Preferred Ivt W/tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BPRTE,2025,462586,4,Preferred
Luxury Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BLU00,2025,462587,4,Luxury
Luxury Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BLUME,2025,462588,4,Luxury
N-Line Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4U1ANLUL,2025,462589,4,N Line Ultimate
Luxury Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,ELHS4T1BLUHE,2025,462706,4,Luxury
Luxury Dct W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,ELHS4T1BLUHM,2025,462707,4,Luxury
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS472ANN00,2025,462700,4,
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4M2ANN00,2025,462701,4,
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE4PRLR,2025,469170,4,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE2PRLR,2025,469171,4,Preferred
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE2PRUP,2025,469172,4,Preferred
Preferred Rwd Standard Range,REAR_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE4PRPR,2025,469173,4,Preferred
Awd,ALL_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE3NN00,2025,456472,4,
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,,I6ES4ZE4PRLR,2025,462828,4,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,,I6ES4ZE2PRLR,2025,462829,4,Preferred
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,,I6ES4ZE2PRUP,2025,462830,4,Preferred
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KOCW5V2BES00,2025,461888,4,Essential
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KOCW5V2BPR00,2025,461889,4,Preferred
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BES00,2025,461890,4,Essential
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BPR00,2025,461891,4,Preferred
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BPRTR,2025,461892,4,Preferred
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANL00,2025,461893,4,N Line
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANLTT,2025,461894,4,N Line
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANLUL,2025,461895,4,N Line Ultimate
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANLBA,2025,461896,4,N Line Ultimate
1.6t Preferred Sport Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1APRSP,2025,461897,4,Preferred Sport
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4PR00,2025,461932,4,Preferred
Ultimate Fwd *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,,KE2SEFEME400,2025,461933,4,Ultimate
Ultimate Fwd W/two-Tone Interior *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,,KE2SEFEME466,2025,461934,4,Ultimate w/Two-Tone Interior
Ultimate Fwd W/sage-Green Interior *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,,KE2SEFEME4BF,2025,461935,4,Ultimate w/Sage-Green Interior
Preferred Fwd W/trend Package,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4PRTR,2025,461936,4,Preferred w/Trend Package
N-Line Ultimate Fwd *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,,KE2SEFEMEO20,2025,461937,4,N Line Ultimate
Preferred Fwd W/ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4PRUP,2025,462604,4,Preferred w/Ultimate Package
Preferred Fwd W/ultimate Package Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4PRUT,2025,462605,4,Preferred w/Ultimate Package Two-Tone
Preferred Fwd W/ultimate Package Green Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4PRUG,2025,462606,4,Preferred w/Ultimate Package Green Interior
Preferred Fwd W/n-Line Ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4PRNU,2025,462607,4,Preferred w/N Line Ultimate Package
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,NXFW5ZH1PR00,2025,464373,4,Preferred
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,NXFW5ZH1UL00,2025,464374,4,Ultimate
Urban 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW8K3DUR00,2025,456016,4,Urban
Urban 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW7K3DUR91,2025,456017,4,Urban
Ultimate Calligraphy 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW7K3DULC7,2025,456018,4,Ultimate Calligraphy
Ultimate Calligraphy W/beige 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW7K3DULCB,2025,456019,4,Ultimate Calligraphy
Ultimate Calligraphy Night 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW7K3DULCN,2025,456020,4,Ultimate Calligraphy Night
Preferred 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW8K3DPR00,2025,460576,4,Preferred
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SZCP5N2DPR00,2025,463873,4,Preferred
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SZCP5N2DUL00,2025,463874,4,Ultimate
Ultimate Awd W/colour Package,ALL_WHEEL_DRIVE,HYUNDAI,,SZCP5N2DUL95,2025,463875,4,Ultimate
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SZCP5N2DXR00,2025,463876,4,XRT
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SACW7N2DXR00,2025,463285,4,XRT
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SACW7N2DLU00,2025,463286,4,Luxury
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SACW6N2DULBG,2025,463287,4,Ultimate Calligraphy
Ultimate Calligraphy Awd W/beige Interior,ALL_WHEEL_DRIVE,HYUNDAI,,SACW6N2DULBH,2025,463288,4,Ultimate Calligraphy
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SAHW7G1APRHE,2025,463289,4,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,SAHW7G1APRTH,2025,463290,4,Preferred
2.5l Preferred-Trend Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,SOCS4J2EPRTR,2025,464084,4,Preferred-Trend
2.5t N-Line Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,SOCS4M2DNL00,2025,464085,4,N Line Ultimate
2.5l Preferred-Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SOCS4K2EPRTR,2025,464086,4,Preferred-Trend
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUCWDK2EPR00,2025,461913,4,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,TUCWDK2EPRTR,2025,461914,4,Preferred
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUCWDK2EXR00,2025,461915,4,XRT
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUCWDK2EPM00,2025,478234,4,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,TUCWDK2EPMTM,2025,478235,4,Preferred
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUHWDG1ANLHE,2025,461941,4,N-Line
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUHWDG1AULHE,2025,461942,4,Ultimate
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUPWDG1AULPH,2025,461940,4,Ultimate
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FES00,2025,463352,4,Essential
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FESTT,2025,463353,4,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FPR00,2025,463354,4,Preferred
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FPRTT,2025,463355,4,Preferred
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FUL00,2025,463356,4,Ultimate
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FULCP,2025,463357,4,Ultimate
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BES00,2026,481251,4,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BPR00,2026,481252,4,Preferred
Preferred Ivt W/tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BPRTE,2026,481253,4,Preferred
Luxury Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BLU00,2026,481254,4,Luxury
Luxury Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BLUME,2026,481255,4,Luxury
N-Line Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4U1ANLUL,2026,481256,4,N Line Ultimate
Luxury Sedan,FRONT_WHEEL_DRIVE,HYUNDAI,,ELHS4T1BLUHE,2026,481260,4,Luxury
Luxury Sedan W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,ELHS4T1BLUHM,2026,481261,4,Luxury
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS472ANN00,2026,480293,4,
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4M2ANN00,2026,480294,4,
Tcr Manual,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS472ANNTC,2026,480295,4,TCR
Tcr Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4M2ANNTC,2026,480296,4,TCR
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE4PRLR,2026,480462,4,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE2PRLR,2026,480463,4,Preferred
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE2PRUP,2026,480464,4,Preferred
Essential Rwd,REAR_WHEEL_DRIVE,HYUNDAI,,I9EW7ZE4ES00,2026,476069,4,Essential
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,I9EW7ZE2PR00,2026,476070,4,Preferred
Preferred Awd W/luxury Package,ALL_WHEEL_DRIVE,HYUNDAI,,I9EW7ZE2PRLP,2026,476071,4,Preferred
Preferred + Awd W/ultimate Calligraphy Package,ALL_WHEEL_DRIVE,HYUNDAI,,I9EW6ZE1PRBG,2026,476072,4,Preferred +
Preferred + Awd,ALL_WHEEL_DRIVE,HYUNDAI,,I9EW7ZE1PR00,2026,477563,4,Preferred +
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KOCW5V2BES00,2026,479275,4,Essential
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KOCW5V2BPR00,2026,479276,4,Preferred
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BES00,2026,479277,4,Essential
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BPR00,2026,479278,4,Preferred
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BPRTR,2026,479279,4,Preferred
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANL00,2026,479280,4,N Line
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANLTT,2026,479281,4,N Line
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANLUL,2026,479282,4,N Line Ultimate
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANLBA,2026,479283,4,N Line Ultimate
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4PR00,2026,481446,4,Preferred
Preferred Fwd W/trend Package,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4PRTR,2026,481447,4,Preferred
Preferred Fwd W/ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4PRUP,2026,481448,4,Preferred
Preferred Fwd W/ultimate Package Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4PRUT,2026,481449,4,Preferred
Preferred Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW8K3FPRTR,2026,480186,4,Preferred Trend
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW7K3FULCA,2026,480187,4,Ultimate Calligraphy
Xrt Pro Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW7K3FXP00,2026,480188,4,XRT Pro
Luxury 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PAHW8G2DLU8H,2026,480297,4,Luxury
Luxury 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PAHW7G2DLU7H,2026,480298,4,Luxury
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PAHW7G2DULCH,2026,480299,4,Ultimate Calligraphy
Ultimate Calligraphy Nhl Special Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PAHW7G2DULCH,2026,481523,4,Ultimate Calligraphy NHL Special Edition
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SAHW7G1APRHE,2026,480189,4,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,SAHW7G1APRTH,2026,480190,4,Preferred
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SAHW7G1ALUHE,2026,480191,4,Luxury
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SAHW6G1AULBG,2026,480192,4,Ultimate Calligraphy
Ultimate Calligraphy Awd W/beige,ALL_WHEEL_DRIVE,HYUNDAI,,SAHW6G1AULBH,2026,480193,4,Ultimate Calligraphy
N-Line Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,SOCS4M2DNL00,2026,480134,4,N Line
Preferred-Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SOCS4K2EPRTR,2026,480135,4,Preferred-Trend
Preferred-Trend Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,SHHS4F2FPRTH,2026,480136,4,Preferred-Trend
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUCWDK2EPR00,2026,480578,4,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,TUCWDK2EPRTR,2026,480579,4,Preferred
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUCWDK2EPM00,2026,480580,4,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,TUCWDK2EPMTM,2026,480581,4,Preferred
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUHWDG1ANLHE,2026,480562,4,N-Line
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUHWDG1AULHE,2026,480563,4,Ultimate
Night Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUHWDG1ANE00,2026,485675,4,Night Edition
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TUPWDG1AULPH,2026,480564,4,Ultimate
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FES00,2026,480300,4,Essential
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FESTT,2026,480301,4,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FPR00,2026,480302,4,Preferred
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FPRTT,2026,480303,4,Preferred
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FUL00,2026,480304,4,Ultimate
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,VNCW5V1FULCP,2026,480305,4,Ultimate
Awd,ALL_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE3NN00,2027,486479,4,
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KOCW5V2BES00,2027,488351,4,Essential
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KOCW5V2BPR00,2027,488352,4,Preferred
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BES00,2027,488353,4,Essential
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BPR00,2027,488354,4,Preferred
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BPRTR,2027,488355,4,Preferred
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANLUL,2027,488356,4,N Line Ultimate
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANLBA,2027,488357,4,N Line Ultimate
2.0l Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BLU00,2027,488358,4,Luxury
Preferred Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW8K3FPRTR,2027,488588,4,Preferred Trend
Xrt Pro Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW7K3FXP00,2027,488589,4,XRT Pro
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW7K3FULCA,2027,488590,4,Ultimate Calligraphy
Ultimate Calligraphy Night Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW7K3FULNP,2027,488591,4,Ultimate Calligraphy Night
Luxury 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PAHW8G2DLU8H,2027,488623,4,Luxury
Luxury 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PAHW7G2DLU7H,2027,488624,4,Luxury
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PAHW7G2DULCH,2027,488625,4,Ultimate Calligraphy
Ultimate Calligraphy Night Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PAHW7G2DULNP,2027,488626,4,Ultimate Calligraphy Night
Gx Manual Fwd,FRONT_WHEEL_DRIVE,MAZDA,,HVXK62,2022,425242,4,GX
Gx Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,,HVXK82,2022,425243,4,GX
Gs Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,,HVSK82,2022,425244,4,GS
Gs Auto Awd,ALL_WHEEL_DRIVE,MAZDA,,HXSK82,2022,425245,4,GS
Gt Auto Awd,ALL_WHEEL_DRIVE,MAZDA,,HXTK82,2022,425246,4,GT
Gx Awd,ALL_WHEEL_DRIVE,MAZDA,,ZXXK82,2022,425339,4,GX
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,,ZXSL82,2022,425340,4,GS
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,,ZXTL82,2022,425341,4,GT
Gt W/turbo Awd,ALL_WHEEL_DRIVE,MAZDA,,ZXTM82,2022,425342,4,GT w/Turbo
Gx Awd,ALL_WHEEL_DRIVE,MAZDA,,NXXL82,2022,426481,4,GX
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,,NXSN82,2022,426482,4,GS
Kuro Edition Awd,ALL_WHEEL_DRIVE,MAZDA,,NXBN82,2022,426483,4,Kuro Edition
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,,NXTN82,2022,426484,4,GT
Signature Awd,ALL_WHEEL_DRIVE,MAZDA,,NXKM82,2022,426485,4,Signature
Sport Design Awd,ALL_WHEEL_DRIVE,MAZDA,,NXDN82,2022,426486,4,Sport Design
Sport Design W/turbo Awd,ALL_WHEEL_DRIVE,MAZDA,,NXDM82,2022,426487,4,Sport Design w/Turbo
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,,QXSM82,2022,425334,4,GS
Gs-L Awd,ALL_WHEEL_DRIVE,MAZDA,,QXLM82,2022,425335,4,GS-L
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,,QXTM82,2022,425336,4,GT
Kuro Edition Awd,ALL_WHEEL_DRIVE,MAZDA,,QXBM82,2022,425337,4,Kuro Edition
Signature Awd,ALL_WHEEL_DRIVE,MAZDA,,QXKM82,2022,425338,4,Signature
Gx Manual Fwd,FRONT_WHEEL_DRIVE,MAZDA,,DVXK62,2022,425356,4,GX
Gx Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,,DVXK82,2022,425357,4,GX
Gs Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,,DVSL82,2022,425358,4,GS
Gt Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,,DVTL82,2022,425359,4,GT
Gs Auto Awd,ALL_WHEEL_DRIVE,MAZDA,,DXSL82,2022,425360,4,GS
Gt Auto Awd,ALL_WHEEL_DRIVE,MAZDA,,DXTL82,2022,425361,4,GT
Gt W/turbo Auto Awd,ALL_WHEEL_DRIVE,MAZDA,,DXTM82,2022,425362,4,GT w/Turbo
Gx Manual Fwd,FRONT_WHEEL_DRIVE,MAZDA,,SVXK62,2022,425502,4,GX
Gx Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,,SVXK82,2022,425503,4,GX
Gs Manual Fwd,FRONT_WHEEL_DRIVE,MAZDA,,SVSL62,2022,425504,4,GS
Gs Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,,SVSL82,2022,425505,4,GS
Gt Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,,SVTL82,2022,425506,4,GT
Gt Manual Fwd,FRONT_WHEEL_DRIVE,MAZDA,,SVTL62,2022,425507,4,GT
Gs Auto Awd,ALL_WHEEL_DRIVE,MAZDA,,SXSL82,2022,425508,4,GS
Gt Auto Awd,ALL_WHEEL_DRIVE,MAZDA,,SXTL82,2022,425509,4,GT
Gt W/turbo Auto Awd,ALL_WHEEL_DRIVE,MAZDA,,SXTM82,2022,425510,4,GT w/Turbo
Gs Fwd,FRONT_WHEEL_DRIVE,MAZDA,,KVSB82,2022,424804,4,GS
Gt Fwd,FRONT_WHEEL_DRIVE,MAZDA,,KVTB82,2022,424805,4,GT
Gs Manual,REAR_WHEEL_DRIVE,MAZDA,,L2SK62,2022,426617,2,GS
Gs Auto,REAR_WHEEL_DRIVE,MAZDA,,L2SK82,2022,426618,2,GS
Gs-P Manual,REAR_WHEEL_DRIVE,MAZDA,,L2PK62,2022,426619,2,GS-P
Gs-P Auto,REAR_WHEEL_DRIVE,MAZDA,,L2PK82,2022,426620,2,GS-P
Gt Manual,REAR_WHEEL_DRIVE,MAZDA,,L2TK62,2022,426621,2,GT
Gt Auto,REAR_WHEEL_DRIVE,MAZDA,,L2TK82,2022,426622,2,GT
Gs-P Manual,REAR_WHEEL_DRIVE,MAZDA,,L3PK62,2022,426623,2,GS-P
Gs-P Auto,REAR_WHEEL_DRIVE,MAZDA,,L3PK82,2022,426624,2,GS-P
Gt Manual,REAR_WHEEL_DRIVE,MAZDA,,L3TK62,2022,426625,2,GT
Gt Auto,REAR_WHEEL_DRIVE,MAZDA,,L3TK82,2022,426626,2,GT
Gx Awd,ALL_WHEEL_DRIVE,MAZDA,,ZXXK83,2023,432206,4,GX
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,,ZXSL83,2023,432207,4,GS
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,,ZXTL83,2023,432208,4,GT
Gt W/turbo Awd,ALL_WHEEL_DRIVE,MAZDA,,ZXTM83,2023,432209,4,GT w/Turbo
Gx Awd,ALL_WHEEL_DRIVE,MAZDA,,NXXN83,2023,431552,4,GX
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,,NXSN83,2023,431553,4,GS
Kuro Edition Awd,ALL_WHEEL_DRIVE,MAZDA,,NXBN83,2023,431554,4,Kuro Edition
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,,NXTN83,2023,431555,4,GT
Sport Design Awd,ALL_WHEEL_DRIVE,MAZDA,,NXDN83,2023,431556,4,Sport Design
Sport Design W/turbo Awd,ALL_WHEEL_DRIVE,MAZDA,,NXDM83,2023,431557,4,Sport Design w/Turbo
