Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName,engine_type
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE4PRLR,2026,480462,4,Preferred,
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE2PRLR,2026,480463,4,Preferred,
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE2PRUP,2026,480464,4,Preferred,
Essential Rwd,REAR_WHEEL_DRIVE,HYUNDAI,IONIQ 9,I9EW7ZE4ES00,2026,476069,4,Essential,
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 9,I9EW7ZE2PR00,2026,476070,4,Preferred,
Preferred Awd W/luxury Package,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 9,I9EW7ZE2PRLP,2026,476071,4,Preferred,
Preferred + Awd W/ultimate Calligraphy Package,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 9,I9EW6ZE1PRBG,2026,476072,4,Preferred +,
Preferred + Awd,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 9,I9EW7ZE1PR00,2026,477563,4,Preferred +,
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5V2BES00,2026,479275,4,Essential,
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5V2BPR00,2026,479276,4,Preferred,
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5Q2BES00,2026,479277,4,Essential,
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5Q2BPR00,2026,479278,4,Preferred,
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5Q2BPRTR,2026,479279,4,Preferred,
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANL00,2026,479280,4,N-Line,
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANLTT,2026,479281,4,N-Line,
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANLUL,2026,479282,4,N-Line Ultimate,
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANLBA,2026,479283,4,N-Line Ultimate,
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PR00,2026,481446,4,Preferred,electric
Preferred Fwd W/trend Package,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PRTR,2026,481447,4,Preferred,electric
Preferred Fwd W/ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PRUP,2026,481448,4,Preferred,electric
Preferred Fwd W/ultimate Package Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PRUT,2026,481449,4,Preferred,electric
Preferred Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW8K3FPRTR,2026,480186,4,Preferred Trend,
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW7K3FULCA,2026,480187,4,Ultimate Calligraphy,
Xrt Pro Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW7K3FXP00,2026,480188,4,XRT Pro,
Luxury 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade Hybrid,PAHW8G2DLU8H,2026,480297,4,Luxury,hybrid
