Description,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,StyleID,Style_ID,TrimName
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I6ES4ZE2PRLR,2025,Preferred,4,462829,4dr Car,AWD Long Range
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,I6ES4ZE2PRUP,2025,Preferred,4,462830,4dr Car,AWD Long Range w/Ultimate Pkg
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BES00,2025,Essential,4,461888,Sport Utility,2.0L FWD
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BPR00,2025,Preferred,4,461889,Sport Utility,2.0L FWD
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BES00,2025,Essential,4,461890,Sport Utility,2.0L AWD
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPR00,2025,Preferred,4,461891,Sport Utility,2.0L AWD
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPRTR,2025,Preferred,4,461892,Sport Utility,2.0L AWD w/Trend Package
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANL00,2025,N Line,4,461893,Sport Utility,1.6T AWD
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLTT,2025,N Line,4,461894,Sport Utility,1.6T AWD w/Two-Tone Roof
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLUL,2025,N Line Ultimate,4,461895,Sport Utility,1.6T AWD
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLBA,2025,N Line Ultimate,4,461896,Sport Utility,1.6T AWD w/Two-Tone Roof
1.6t Preferred Sport Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1APRSP,2025,Preferred Sport,4,461897,Sport Utility,1.6T AWD
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PR00,2025,Preferred,4,461932,Sport Utility,FWD
Ultimate Fwd *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,KE2SEFEME400,2025,Ultimate,4,461933,Sport Utility,FWD
Ultimate Fwd W/two-Tone Interior *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,KE2SEFEME466,2025,Ultimate w/Two-Tone Interior,4,461934,Sport Utility,FWD
Ultimate Fwd W/sage-Green Interior *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,KE2SEFEME4BF,2025,Ultimate w/Sage-Green Interior,4,461935,Sport Utility,FWD
Preferred Fwd W/trend Package,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRTR,2025,Preferred w/Trend Package,4,461936,Sport Utility,FWD
N-Line Ultimate Fwd *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,KE2SEFEMEO20,2025,N Line Ultimate,4,461937,Sport Utility,FWD
Preferred Fwd W/ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUP,2025,Preferred w/Ultimate Package,4,462604,Sport Utility,FWD
Preferred Fwd W/ultimate Package Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUT,2025,Preferred w/Ultimate Package Two-Tone,4,462605,Sport Utility,FWD
Preferred Fwd W/ultimate Package Green Interior,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUG,2025,Preferred w/Ultimate Package Green Interior,4,462606,Sport Utility,FWD
Preferred Fwd W/n-Line Ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRNU,2025,Preferred w/N Line Ultimate Package,4,462607,Sport Utility,FWD
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,NXFW5ZH1PR00,2025,Preferred,4,464373,Sport Utility,FWD
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,NXFW5ZH1UL00,2025,Ultimate,4,464374,Sport Utility,FWD
Urban 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW8K3DUR00,2025,Urban,4,456016,Sport Utility,8-Passenger AWD
Urban 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DUR91,2025,Urban,4,456017,Sport Utility,7-Passenger AWD
Ultimate Calligraphy 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULC7,2025,Ultimate Calligraphy,4,456018,Sport Utility,7-Passenger AWD
Ultimate Calligraphy W/beige 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULCB,2025,Ultimate Calligraphy,4,456019,Sport Utility,7-Passenger AWD w/Beige
Ultimate Calligraphy Night 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULCN,2025,Ultimate Calligraphy Night,4,456020,Sport Utility,7-Passenger AWD
Preferred 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW8K3DPR00,2025,Preferred,4,460576,Sport Utility,8-Passenger AWD
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPR00,2025,Preferred,4,463873,Crew Cab Pickup,AWD
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DUL00,2025,Ultimate,4,463874,Crew Cab Pickup,AWD
Ultimate Awd W/colour Package,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DUL95,2025,Ultimate,4,463875,Crew Cab Pickup,AWD w/Colour Pkg
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DXR00,2025,XRT,4,463876,Crew Cab Pickup,AWD
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,SACW7N2DXR00,2025,XRT,4,463285,Sport Utility,AWD
